"","HOMA.r","WHR.r","Glucose.r","Insulin.r","TG.r","Chol.r","HDL.r","LEP_protein.r","cell_vol.r","basal_TG.r","iso_TG.r","iso_basal.r","HOMA.p","WHR.p","Glucose.p","Insulin.p","TG.p","Chol.p","HDL.p","LEP_protein.p","cell_vol.p","basal_TG.p","iso_TG.p","iso_basal.p","HOMA.n","WHR.n","Glucose.n","Insulin.n","TG.n","Chol.n","HDL.n","LEP_protein.n","cell_vol.n","basal_TG.n","iso_TG.n","iso_basal.n"
"ADH1B","-0.322","-0.1819","-0.0515","-0.3436","0.0362","0.0399","0.0182","-0.1829","-0.3254","0.0531","0.2987","0.0977","0.0043","0.1134","0.6563","0.0022","0.7549","0.7308","0.8751","0.1113","0.0039","0.6508","0.0092","0.4044","78","78","78","78","78","78","78","78","78","76","76","76"
"LRP1B","0.035","-0.0354","-0.0511","0.0493","-0.1315","-0.0748","-0.091","-0.2089","-0.0602","-0.0537","0.0994","0.0845","0.7626","0.7596","0.6589","0.6704","0.2543","0.5181","0.4312","0.0682","0.6031","0.6471","0.3961","0.4713","78","78","78","78","78","78","78","78","78","76","76","76"
"CECR2","-0.3808","0.0023","-0.24","-0.3798","-0.1535","-0.0044","0.1471","-0.0472","-0.2205","-0.2417","0.0727","0.22","0.0006","0.9839","0.0355","0.0007","0.1827","0.9695","0.2017","0.6835","0.0539","0.0367","0.5356","0.0579","78","78","78","78","78","78","78","78","78","76","76","76"
"RORB","-0.2357","0.0164","-0.0642","-0.2458","0.0214","0.1664","0.2178","-0.2539","-0.2546","-0.1171","0.1775","0.222","0.039","0.8873","0.579","0.0312","0.8538","0.1482","0.0571","0.0259","0.0254","0.3169","0.1277","0.0555","78","78","78","78","78","78","78","78","78","76","76","76"
"CIDEA","-0.2108","-0.1371","-0.0994","-0.2468","0.0037","0.2323","0.182","-0.2884","-0.3129","-0.0349","0.2307","0.1363","0.0658","0.2345","0.3896","0.0305","0.9747","0.042","0.1131","0.011","0.0056","0.7661","0.0465","0.2437","78","78","78","78","78","78","78","78","78","76","76","76"
"PFKFB3","-0.3093","-0.2492","-0.1457","-0.2986","-0.1527","0.0621","0.0162","0.061","-0.2498","-0.1538","0.2009","0.2833","0.0062","0.0288","0.2061","0.0084","0.1849","0.5919","0.8889","0.5979","0.0284","0.1878","0.0839","0.0138","78","78","78","78","78","78","78","78","78","76","76","76"
"C6","0.0945","-0.0415","0.1121","0.0628","0.1753","0.1626","-0.0568","-0.3182","-0.1426","0.2468","0.222","-0.1464","0.4137","0.7201","0.3316","0.5876","0.1273","0.1576","0.6238","0.0048","0.216","0.0328","0.0555","0.2101","78","78","78","78","78","78","78","78","78","76","76","76"
"TMEM132C","-0.0617","-0.1174","0.0655","-0.0937","0.1057","0.2037","-0.0981","-0.1824","-0.2684","0.0258","0.2692","0.1022","0.5942","0.3094","0.5712","0.4178","0.3604","0.0756","0.396","0.1124","0.0182","0.8264","0.0195","0.3828","78","78","78","78","78","78","78","78","78","76","76","76"
"FAM13A","-0.4041","-0.3753","-0.1875","-0.4255","-0.2493","-0.0808","0.1251","-0.1014","-0.3483","-0.0336","0.1281","0.1241","0.0003","0.0008","0.1025","0.0001","0.0288","0.4849","0.2782","0.3801","0.0019","0.7745","0.2733","0.2888","78","78","78","78","78","78","78","78","78","76","76","76"
"ENOX1","0.0713","-0.0523","-0.0823","0.092","-0.0791","0.0102","-0.1402","-0.043","0.0868","0.062","0.2372","0.0452","0.5375","0.6516","0.4768","0.4261","0.4943","0.9296","0.2238","0.7106","0.4529","0.5971","0.0404","0.7005","78","78","78","78","78","78","78","78","78","76","76","76"
