Symbol	log2FC_SAF1_SAF2.arc	pvalue_SAF1_SAF2.arc	padj_SAF1_SAF2.arc	log2FC_SAF1_SAF3.arc	pvalue_SAF1_SAF3.arc	padj_SAF1_SAF3.arc	log2FC_SAF2_SAF3.arc	pvalue_SAF2_SAF3.arc	padj_SAF2_SAF3.arc	Row.names	log2FC_SAF1_SAF2.all	pvalue_SAF1_SAF2.all	padj_SAF1_SAF2.all	log2FC_SAF1_SAF3.all	pvalue_SAF1_SAF3.all	padj_SAF1_SAF3.all	log2FC_SAF2_SAF3.all	pvalue_SAF2_SAF3.all	padj_SAF2_SAF3.all
AADACL3	1.26852827118615	0.0453754013757789	0.39557397046574	3.10235625336137	6.01107709044365e-06	0.00274357192750604	1.83382798217523	0.0011029770222871	0.52947376033223	AADACL3	1.02872563281351	0.00292645560353751	0.301229298495245	2.14239385628351	2.44616606368793e-08	6.96521324974501e-05	1.11366822347001	0.000697004184142673	0.45105675316542
ABCC3	1.33916381949473	0.0111890457692177	0.228867401582443	1.96496582887019	0.000165014181634122	0.0129341107292415	0.625802009375462	0.173442419864421	0.934128826411431	ABCC3	0.653157745354178	0.0167241469577054	0.488915154490456	0.997130579919605	0.000655139998617548	0.0395221532216866	0.343972834565427	0.204957267278326	0.999858517549214
ABTB2	-0.10392916561945	0.648235548590028	0.890664471554319	0.674885682150979	0.00308278858050614	0.0568688078560382	0.778814847770429	0.000890450135348256	0.52947376033223	ABTB2	0.27752503997683	0.0416463900444528	0.642338097184149	0.546003000850925	0.000226251584667187	0.0226841113444136	0.268477960874095	0.0520662855110236	0.999858517549214
ACACA	-1.4853902294399	0.000179845917063176	0.0379796997093563	-1.4023433533048	0.000150074763791671	0.0127019012430501	0.0830468761351053	0.792841795951067	0.985628267101122	ACACA	-0.778648718508793	0.000109264984422117	0.0864225324009823	-0.77978300713993	0.00025887119887207	0.0236253157586004	-0.00113428863113769	0.995375863940605	0.999858517549214
ACRC	-0.260414063210134	0.240578450129771	0.672544349412134	-0.305672076576438	0.141593711187863	0.459522883827313	-0.0452580133663045	0.825228236880163	0.988872665362179	ACRC	-0.206760600095565	0.0792609192777402	0.769619311400858	-0.409692692599182	0.00144871248330814	0.0569760210631436	-0.202932092503617	0.0975069976800648	0.999858517549214
ACSM5	-0.57181735774478	0.0382939363185872	0.371599361863481	-0.777294331418362	0.00406853301507655	0.0663497151465678	-0.205476973673582	0.38704756829699	0.963195811776739	ACSM5	-0.200988282096067	0.124748509450719	0.866955185851139	-0.44726510602183	0.00176864870700149	0.0640152479702018	-0.246276823925763	0.0697146958954362	0.999858517549214
ACSS2	-0.848495732500298	0.0026057509642969	0.122082021171645	-0.953717197440941	0.000409789058526027	0.0200231997901109	-0.105221464940643	0.658181748594579	0.980872057672004	ACSS2	-0.419360030815651	0.0112797555935483	0.449660213898586	-0.513042936023164	0.00381752836401474	0.0940992187771445	-0.0936829052075134	0.573958670745858	0.999858517549214
ACSS3	-0.444776563073272	0.109129063965425	0.528971266203084	-1.12584213509103	0.000121743335048952	0.0114380689746748	-0.681065572017762	0.0100898460562146	0.771682334320975	ACSS3	-0.324334588915397	0.0262913340641603	0.583036951824689	-0.72106382711194	1.17744046121243e-05	0.00441137364375826	-0.396729238196543	0.00936904279234184	0.83093511016367
ACVR1C	-0.728429129603887	0.0265536489067074	0.329568051211406	-0.91666959154219	0.00386148030578212	0.0647346976854397	-0.188240461938304	0.508794919551127	0.9700148971976	ACVR1C	-0.519228435144297	0.00140268561343036	0.245029951870354	-0.743470191891043	3.06930582051916e-05	0.00794503763031477	-0.224241756746746	0.168404158040888	0.999858517549214
ADAM12	0.643451289792002	0.00893848094196924	0.209388355708481	1.09035513652802	2.80390627434463e-05	0.00566749569652888	0.446903846736023	0.03754918433219	0.881422603436638	ADAM12	0.473701916754084	0.00177294923620251	0.2521418237169	0.670214172791978	4.15340945427065e-05	0.00855685479212918	0.196512256037895	0.189333036168146	0.999858517549214
ADAM8	0.593225308589679	0.0280104052932003	0.3361566375773	1.15623780472712	4.12024413929971e-05	0.00707674370472585	0.56301249613744	0.0222534835045395	0.873781996094419	ADAM8	0.342164270395593	0.0804455212628304	0.773330780701496	0.874801408199985	5.00755036774966e-05	0.0091400634084169	0.532637137804392	0.00800916454649279	0.814474826060127
ADAMTS15	0.509106223463178	0.104768049598367	0.523442036537067	0.946962275199054	0.00217011586935673	0.0485838123979879	0.437856051735876	0.123474162734531	0.923598043043093	ADAMTS15	0.488862498107603	0.000713953944965483	0.191784194612709	0.72022264407218	4.73692561764635e-06	0.002325503793739	0.231360145964577	0.103900235193169	0.999858517549214
ADCK3	-0.858752146406806	0.00195108659799604	0.108974822496414	-1.17864758777855	2.13335456514411e-05	0.00450519906600358	-0.319895441371745	0.173942600981431	0.934128826411431	ADCK3	-0.442105759138571	0.00343550724599275	0.321341963294862	-0.755350055893507	7.43138767252101e-06	0.00319070026764302	-0.313244296754936	0.0414942988315319	0.999858517549214
ADGRE5	0.248120541732787	0.222012275592433	0.656653553688276	0.693885951011271	0.000800276356766727	0.0282335056879345	0.445765409278484	0.025573011406094	0.873781996094419	ADGRE5	0.199765938775312	0.146584553954545	0.890357043171669	0.498787132384937	0.000869681783016271	0.0450242165265551	0.299021193609625	0.0347358529583031	0.999858517549214
ADGRG5	0.816576841153361	0.0379460223923881	0.369764649331887	1.01368233913156	0.00759601450955116	0.0941945743169495	0.197105497978198	0.561154813118127	0.975811282181533	ADGRG5	0.554487755364872	0.00983600081671548	0.421361878798944	0.741399929702678	0.00109974017535684	0.0506699057493701	0.186912174337806	0.37347782713295	0.999858517549214
ADH1A	-0.786137084950355	0.0815754059974412	0.482049326501497	-1.37521007526617	0.00196736815373905	0.0456036613515017	-0.589072990315817	0.145741414941836	0.929622016179078	ADH1A	-0.601787184555799	0.00105469599807558	0.234344716868642	-1.02264687059001	9.74966470758923e-07	0.000925373176279652	-0.420859686034207	0.0286005951214822	0.997759514906541
ADH1B	-1.09290699227923	0.000982657790480581	0.0778224471352607	-1.52383025502078	8.96725727356678e-06	0.00312064435729877	-0.430923262741555	0.11919961476914	0.923598043043093	ADH1B	-0.548012385512617	6.66012508285283e-05	0.0657073587896136	-1.04556438354222	1.36387476869552e-10	1.08331163741489e-06	-0.497551998029603	0.000403610523693306	0.45105675316542
ADH1C	-0.430509189927332	0.111038901853622	0.532211863931875	-0.340426766107476	0.158765840275958	0.483260138454575	0.0900824238198559	0.707100405183694	0.98311267769293	ADH1C	-0.240732241713583	0.0911147484898469	0.803717889869858	-0.537924736550083	0.000608237860445816	0.0379801860489784	-0.297192494836499	0.0456598696167665	0.999858517549214
ADM2	0.85037605658819	0.156202385562893	0.597164969826904	1.13412466502325	0.0349619190791626	0.21834585221322	0.283748608435057	0.580846046022654	0.975847510367096	ADM2	1.19858859025134	2.95103988625538e-05	0.0420139548606178	1.43036079963569	2.08999026472808e-06	0.00129370397386668	0.231772209384351	0.366715150297235	0.999858517549214
ADRBK2	-0.276201727962988	0.15398098782409	0.594454842216384	-0.705297670333672	0.00042818559747918	0.0203350924736941	-0.429095942370685	0.0189043667680661	0.870458231001373	ADRBK2	-0.158670227962719	0.155658368537369	0.896332586698812	-0.425459110672724	0.000548677264492391	0.0359977797906828	-0.266788882710005	0.0222164298681305	0.964314975709065
ADSSL1	-0.671316473941625	0.0830539288641075	0.48486299240127	-1.34384952594713	0.000416184847313478	0.020235736785699	-0.672533052005501	0.0726461567134571	0.917330765779016	ADSSL1	-0.260385515563467	0.208489818789924	0.937282106301864	-0.768002987058641	0.000852169539592247	0.0444056341197103	-0.507617471495174	0.0210234031445254	0.962516255804158
AGAP11	-0.401853534271328	0.112133815116119	0.534223801449021	-0.571309316236112	0.0175781333004137	0.149325175900571	-0.169455781964784	0.465009703061408	0.966499852072356	AGAP11	-0.275658292753924	0.0929024244594511	0.810112980131718	-0.547724307600497	0.0022039626093309	0.0718027818513595	-0.272066014846573	0.108360191218113	0.999858517549214
