Symbol	log2FC_SAF1_SAF2.arc	pvalue_SAF1_SAF2.arc	padj_SAF1_SAF2.arc	log2FC_SAF1_SAF3.arc	pvalue_SAF1_SAF3.arc	padj_SAF1_SAF3.arc	log2FC_SAF2_SAF3.arc	pvalue_SAF2_SAF3.arc	padj_SAF2_SAF3.arc	log2FC_SAF1_SAF2.all	pvalue_SAF1_SAF2.all	padj_SAF1_SAF2.all	log2FC_SAF1_SAF3.all	pvalue_SAF1_SAF3.all	padj_SAF1_SAF3.all	log2FC_SAF2_SAF3.all	pvalue_SAF2_SAF3.all	padj_SAF2_SAF3.all
A1BG	0.241790765914638	0.256323113106172	0.688341865303162	0.555042810241284	0.00705272449950915	0.0900622734147608	0.313252044326646	0.112101943778858	0.923598043043093	0.0827749925869623	0.641978944822583	0.992329621541324	0.0439689993260082	0.814751735918971	0.962798279983872	-0.0388059932609541	0.832141079575951	0.999858517549214
AACS	-1.53305392497472	0.000924590881538692	0.0778224471352607	-1.35757420455202	0.00112125097824199	0.0344922712332089	0.175479720422704	0.647056627974703	0.98011500612699	-0.731207956203442	0.0021744707315597	0.257982831710129	-0.554813173416992	0.0260064292477025	0.24247120707239	0.176394782786451	0.456617244978869	0.999858517549214
AADACL3	1.26852827118615	0.0453754013757789	0.39557397046574	3.10235625336137	6.01107709044365e-06	0.00274357192750604	1.83382798217523	0.0011029770222871	0.52947376033223	1.02872563281351	0.00292645560353751	0.301229298495245	2.14239385628351	2.44616606368793e-08	6.96521324974501e-05	1.11366822347001	0.000697004184142673	0.45105675316542
ABCC1	0.171738739684766	0.305102957558039	0.721239580669751	0.516797562890642	0.00213922674762204	0.048120698334029	0.345058823205876	0.0299557270434368	0.873781996094419	0.103478704757156	0.24613556686107	0.954051746637913	0.277256535866558	0.00405218965299935	0.0969430550377173	0.173777831109402	0.0589179083616949	0.999858517549214
ABCC3	1.33916381949473	0.0111890457692177	0.228867401582443	1.96496582887019	0.000165014181634122	0.0129341107292415	0.625802009375462	0.173442419864421	0.934128826411431	0.653157745354178	0.0167241469577054	0.488915154490456	0.997130579919605	0.000655139998617548	0.0395221532216866	0.343972834565427	0.204957267278326	0.999858517549214
ABLIM3	-0.339507725413824	0.149511644790597	0.58796254718999	-0.684089178783462	0.00366678921911007	0.0628692891483851	-0.344581453369638	0.115772972912802	0.923598043043093	-0.0612148486721856	0.681065095014421	0.992329621541324	-0.169623628039382	0.283704995335496	0.716378721909653	-0.108408779367197	0.479599145565925	0.999858517549214
ABRACL	0.638263236757767	0.0215123217316034	0.302789608889309	0.907528493970522	0.00104379438477518	0.0331879702251326	0.269265257212755	0.273472006306024	0.962939555184773	0.142709507163471	0.50787662390141	0.988245312633705	0.302993215723509	0.183204692859732	0.600262753606726	0.160283708560038	0.466766164270555	0.999858517549214
ABTB2	-0.10392916561945	0.648235548590028	0.890664471554319	0.674885682150979	0.00308278858050614	0.0568688078560382	0.778814847770429	0.000890450135348256	0.52947376033223	0.27752503997683	0.0416463900444528	0.642338097184149	0.546003000850925	0.000226251584667187	0.0226841113444136	0.268477960874095	0.0520662855110236	0.999858517549214
ACACA	-1.4853902294399	0.000179845917063176	0.0379796997093563	-1.4023433533048	0.000150074763791671	0.0127019012430501	0.0830468761351053	0.792841795951067	0.985628267101122	-0.778648718508793	0.000109264984422117	0.0864225324009823	-0.77978300713993	0.00025887119887207	0.0236253157586004	-0.00113428863113769	0.995375863940605	0.999858517549214
ACACB	-0.799564626043247	0.000916409509470826	0.0778224471352607	-0.937924848456853	5.63895204820036e-05	0.00800768713186574	-0.138360222413606	0.484416550186295	0.967158874012156	-0.360255214297924	0.031624181976433	0.589568408385723	-0.391574958894942	0.0279828953987865	0.252700216988681	-0.0313197445970177	0.853418655303649	0.999858517549214
ACP5	2.75329904009707	6.32265366453292e-05	0.0241948680485417	2.09851230829092	0.000293346582441862	0.0172625598116884	-0.654786731806144	0.212635589215125	0.939100828539374	0.818086562095357	0.0485607168560754	0.680104930895468	0.562288962206222	0.190681588141882	0.610923877371808	-0.255797599889135	0.539113116802599	0.999858517549214
ACSM5	-0.57181735774478	0.0382939363185872	0.371599361863481	-0.777294331418362	0.00406853301507655	0.0663497151465678	-0.205476973673582	0.38704756829699	0.963195811776739	-0.200988282096067	0.124748509450719	0.866955185851139	-0.44726510602183	0.00176864870700149	0.0640152479702018	-0.246276823925763	0.0697146958954362	0.999858517549214
ACSS2	-0.848495732500298	0.0026057509642969	0.122082021171645	-0.953717197440941	0.000409789058526027	0.0200231997901109	-0.105221464940643	0.658181748594579	0.980872057672004	-0.419360030815651	0.0112797555935483	0.449660213898586	-0.513042936023164	0.00381752836401474	0.0940992187771445	-0.0936829052075134	0.573958670745858	0.999858517549214
