D01_V1_SAT.bam	D02_V1_SAT.bam	D03_V1_SAT.bam	D06_V1_SAT.bam	D07_V1_SAT.bam	D08_V1_SAT.bam	D09_V1_SAT.bam	D10_V1_SAT.bam	D101_V1_SAT.bam	D102_V1_SAT.bam	D119_V1_SAT.bam	D12_V1_SAT.bam	D128_V1_SAT.bam	D130_V1_SAT.bam	D133_V1_SAT.bam	D135_V1_SAT.bam	D139_V1_SAT.bam	D14_V1_SAT.bam	D141_V1_SAT.bam	D15_V1_SAT.bam	D162_V1_SAT.bam	D164_V1_SAT.bam	D17_V1_SAT.bam	D171_V1_SAT.bam	D177_V1_SAT.bam	D181_V1_SAT.bam	D185_V1_SAT.bam	D19_V1_SAT.bam	D191_V1_SAT.bam	D198_V1_SAT.bam	D199_V1_SAT.bam	D20_V1_SAT.bam	D201_V1_SAT.bam	D207_V1_SAT.bam	D21_V1_SAT.bam	D22_V1_SAT.bam	D25_V1_SAT.bam	D26_V1_SAT.bam	D31_V1_SAT.bam	D32_V1_SAT.bam	D33_V1_SAT.bam	D34_V1_SAT.bam	D40_V1_SAT.bam	D41_V1_SAT.bam	D42_V1_SAT.bam	D43_V1_SAT.bam	D46_V1_SAT.bam	D47_V1_SAT.bam	D48_V1_SAT.bam	D49_V1_SAT.bam	D52_V1_SAT.bam	D55_V1_SAT.bam	D57_V1_SAT.bam	D59_V1_SAT.bam	D61_V1_SAT.bam	D64_V1_SAT.bam	D68_V1_SAT.bam	D70_V1_SAT.bam	D72_V1_SAT.bam	D74_V1_SAT.bam	D75_V1_SAT.bam	D78_V1_SAT.bam	D81_V1_SAT.bam	D82_V1_SAT.bam	D87_V1_SAT.bam	D93_V1_SAT.bam	D98_V1_SAT.bam
AADACL3	1.05433382914114	2.11286094257771	1.00229619241851	2.4760742734237	-0.0706277784401059	0.338041239841599	1.14080316995015	1.99707954176837	-1.1009224927068	2.71153736470957	-2.52947427424122	2.04123790761885	-0.0265596023826899	-2.52947427424122	0.890488003709237	2.34885079307308	0.104103106213114	2.19140562001694	1.16448876032289	-0.721639810410607	-0.215593939822474	0.446450785496806	1.08298936305828	1.43343300969214	0.708185804342036	-1.42069285464513	0.672039201234608	0.660803737127935	1.0900918217309	-0.379901891955579	1.66213647256023	0.872525183809721	2.62751933463265	0.170227221382413	1.51275865590904	1.59938622488143	-0.963848274409099	-0.254376500082481	-0.620086055264898	0.68272506481754	-2.52947427424121	0.588195904691683	1.32345242962018	1.78848392204028	-1.8745214023547	0.301429941850571	1.22773339222222	-0.675131307672559	1.43245345457732	-0.0638492957121219	-2.52947427424121	0.857884641930388	0.0988991111635866	-0.0481017249890787	-1.50631535776519	-0.101325051107784	-1.82976097808182	-0.721857011101627	0.214948145199959	-1.15842720981333	1.79699477432144	-0.221086381147248	-0.243468440275799	-0.38992063918682	1.52003239317073	0.424271102979917	2.08072034642351
ABCC3	6.57392435017941	6.03042443162169	5.12692730691431	6.03167343418741	4.33028295817524	5.67807622463993	3.58803416301402	5.199288952339	4.1212286473234	5.64999072870514	4.89771458012353	5.75877034198588	4.90059115541339	1.58458268310445	4.96829078203659	6.19037245832433	6.22124466833977	5.13957251409459	6.2740953062108	5.50255107052998	4.56620279633785	3.36230134168912	4.81571608588173	4.88236643367641	4.84732736456503	4.08754885116782	4.71988635446492	4.87119983639766	4.26203466741368	4.36537236117642	5.90903474007117	4.44113947721925	6.43122299663238	5.55564520018072	5.38806178555248	5.26068938790987	3.15164280048753	5.65511835634617	5.14987090801315	4.52325938801828	3.40361157828695	5.08368113480848	5.28029491626384	4.9572451783144	2.73155600782227	3.60190437867827	4.14524601898282	4.24033240663297	3.74780866374095	2.68734118304919	1.10131761545958	6.07657500025271	3.71502437764377	5.48445691004406	4.94247944335781	4.21554946286821	3.36953471836282	4.04642838649906	5.48505510549176	3.00912672068048	4.80747210028079	5.034116595485	4.44598041515315	4.94727486591353	5.71662163351825	4.57526551638901	6.24887122229012
ABTB2	4.12686911815182	3.62033542256285	2.90556993873423	4.14365386096469	3.64174781948182	2.87268049378503	2.93040920719918	3.76516799241264	3.19211630625666	3.7562574946556	3.51738199484967	3.76326989921924	3.28227291538972	3.60195544119821	3.65278933316833	4.12570466227345	3.11911400877223	3.45499466278219	3.39436066164566	3.7426513793716	3.42535540083214	2.23058216505937	4.1352153183167	2.95536040233454	3.44997540846895	3.72188913468662	3.30262261969254	3.45497058699719	3.23393856093289	2.87118492763551	4.70142185607292	3.78915993191274	3.48150263497305	3.29268199158468	3.57524463773727	3.82663884931016	3.34076881197527	3.08534758869759	3.00913254772944	2.66642933463114	3.22278861280374	4.07559351453322	3.6931510087197	3.82566501642059	3.63385207149479	3.11211788748065	3.08846472347935	3.47213752553979	3.77468241810809	3.39980824205861	2.7144578431888	3.17388832301982	3.08528625773819	3.05515517527914	3.15942901460968	2.64270133437471	2.86956045307288	2.13621443540809	3.15069081388184	2.8893902719714	3.51085645090075	3.34625847579218	3.46619225667586	2.85854589338189	4.520047193842	3.39185745448002	4.39275378017198
ACACA	7.31884278275932	6.09143651843106	6.46779329526184	6.52393259747202	6.22202557025338	5.70849049958567	7.09785801074741	5.9289717511205	6.44721064359281	7.24345135943143	6.82955065557177	5.99511013928594	5.36161342047848	8.4898153409534	6.21800175627914	5.9055704112676	6.14976320350616	6.14233591601734	6.75123163902305	5.5829823491813	7.99883110593369	7.71668000335557	7.41444020194862	6.32885554316092	7.07548375510796	7.06818390959647	6.271093950222	6.3447556825712	6.55861745952766	6.0656100254949	6.75762190467211	6.08416745737128	6.34529205871358	5.962843969444	7.38085259392314	6.3239765557207	5.82665422839939	6.22886302885912	5.92993291869691	6.60537530199304	6.19672701460597	6.09027082846758	6.55395216396963	7.04598993229313	7.23687354553934	6.72769769926255	7.75581295303112	7.23065309387851	6.43768741970659	6.6948249600042	7.81792356329234	6.91667537314599	8.29424742554943	6.71035695986278	6.10132238022663	5.68646865762528	6.15382765711372	6.2798563460689	6.79491065056763	7.23964040850692	7.10850211166769	8.68156450282546	6.04398330418221	5.54002638656137	7.01405209673599	6.20175248449403	6.77829453582775
ACRC	1.65657997466002	0.938970386579761	2.27242420247319	2.26114769461005	1.96809306365489	1.92953598480713	2.29694239656947	1.44308034463149	2.24618283848357	2.22129679625439	2.47242330381452	1.77190509240971	2.4308390107222	2.58290630121279	2.40464003086586	1.49248302715751	1.75658640805133	2.37413440771573	1.27136532536944	0.930567642629905	2.42341607109756	2.49692727838228	2.36297973726173	2.67990958197075	2.22885516864802	2.19550062139451	2.43868611332198	2.35060093106108	2.1409407781677	2.50158705628959	2.5212992554282	1.91878935809275	1.41585472967475	1.83115215689317	2.27034865155562	1.85722221202601	2.33318445526101	2.5009726575636	1.84590581428539	2.32368440809712	2.36728787690954	1.87970471265071	2.38879683864429	2.243373552811	2.30741414301651	2.14073146655135	2.46938923561396	2.81139801099712	1.84120883064711	2.30437430014806	3.09352123993741	2.65370129748907	2.58233616286322	2.9354776324138	1.60127758972052	2.26960816641718	2.75870343790583	2.48210885870957	2.30187018026648	2.45574940220808	2.28983261804472	2.42681591346947	2.30478108267025	2.43259830331342	2.20776088195995	1.95384689658999	2.04283188583233
ACSM5	5.53207978840239	4.75472359659905	5.3841792152545	4.82356593858399	5.81010796103958	4.334274232663	5.36276985202516	4.93579712506782	5.37464058629631	5.35888855693923	5.36522265147026	4.73517887452205	5.08685093165614	6.01137161361126	5.58587364650419	4.73218598678792	5.69672617523313	4.38620525615496	5.40605110568533	4.21602461922426	5.23648939661025	5.31838551913466	5.68665114152363	4.62102544224561	5.549801736731	5.85969348762393	5.34616061410596	5.3042303187659	5.86408352342203	5.02606212934499	5.05877626212296	5.29552264560826	5.46462587090058	4.8446979292347	4.54049295354058	5.21326284520724	5.71919249518186	4.01227758521514	5.50366483502846	5.02553633276127	6.23304511270949	5.88123041981802	5.67000482650238	4.99394162704054	5.80995380439995	5.47742321792634	5.60711093885778	6.2872844741497	4.95366520573259	5.69541833478595	5.24049587892676	5.14408193050991	5.06639937258634	5.74691634221991	4.9756522845632	4.30135344388458	5.39642199400424	5.67117734663356	5.72186233824998	5.76310827153447	4.73777179328992	5.16102120905061	4.78507032544753	5.07180202215734	5.72766876686075	4.72090191128208	5.32696716373295
ACSS2	8.63308061393898	7.44628008889302	7.49726237607054	7.40592815783147	7.81676798203325	6.73921169305775	7.95321514901711	7.3465814366111	7.98359246127648	7.66672657151967	7.39029112632926	7.04862727333107	7.07740535164872	9.13690009979812	7.5210417626238	8.47445263268133	8.49634818577473	6.81967152525442	8.35908697900267	6.5885142571518	8.77967318140536	8.63120832060826	8.05245662837592	7.2270106905929	8.12586166247414	7.96916814756045	7.29635889418218	7.70567737587246	7.74361939215081	7.30006717253926	7.08968912262948	7.38801424283522	7.21148376460859	7.34472087135977	8.46269395525376	7.32629804460127	7.65049489072249	5.97795871200295	7.40921487923857	7.26529780344241	7.64075754728873	8.66488515312698	7.45440362419424	7.80130435058318	8.1262603912711	7.81806513806802	8.33453528060262	8.16803584473603	7.53582513772755	7.1119856958446	8.49879306376478	7.99069930860125	8.34742940778128	7.68431739385048	8.14033049335952	7.11666570498285	7.42319801973845	8.08260921618046	8.17158766447121	8.2136602536199	7.95799467917114	9.03186443083966	7.15175356019207	7.57796178452505	8.46209128074856	7.70047923893744	7.72390244650418
ACSS3	4.59047102396952	3.7327475884181	5.07090445566005	4.99805164766171	4.61345391242567	4.43471749986117	5.09381407664277	3.0685353788115	5.10423303442628	4.91197992861523	4.66398173704069	4.31376249230288	3.69633910551837	6.18622804606179	4.46080929943692	3.88909593505672	4.0706605990446	4.0791547484226	5.07825373940554	3.73093154429196	5.05839439442932	5.36493409721525	4.41646674099448	4.75310492116335	5.06323676877313	5.63386655574361	5.1468696947581	5.31843816992003	4.9929612977776	5.04930292243097	4.17312592916925	4.23247136769693	4.5690573661994	4.54469310486645	4.77040808119613	4.87987141699893	4.68637696650912	3.45704920987127	3.93468905647695	4.91860138723322	5.08562622205046	4.39040128020916	5.25755753998963	5.06464767931051	5.38097900245404	5.27525863623956	5.8858166618215	5.61038779223613	4.55687865105551	5.11739464325092	5.31100054997124	4.97893348926136	4.9636715009167	5.40557964453577	5.5386715144694	4.52590055382988	4.96350233376017	5.13088706668574	5.26021694337045	5.38719129501313	4.41308152935724	4.57678954433986	4.65652697896986	4.45403127865916	4.03049856271687	4.76807383390961	4.62844642295826
ACVR1C	5.10242587214354	5.71858150989587	6.86781108266068	6.04550167049577	5.85739924524921	5.55701826323416	6.82803948331186	5.24842622527208	6.42376684788735	6.26232349449651	6.58939540849688	6.27848658805434	5.39475939732613	7.79451249539065	5.99720192499682	6.09985995293646	6.76512133641252	7.08676228336404	5.66810299470126	7.1123447965068	7.3759414619576	7.30176652956869	6.74362619300724	7.11747517130214	7.20835701687353	7.26704395971354	6.7968789768234	7.03015907774913	7.07688039795414	6.88313492300053	6.32702000915322	7.8195908304704	6.8260855756523	5.86149610088202	6.38507517806731	6.40237684823684	5.98710964520901	5.67872769976378	7.315032449501	6.71021129209069	6.53601328788463	6.31287088808119	6.37186758151632	6.6663850562727	7.26887742653423	6.86511795529415	7.72539905761227	7.16789456849654	5.68857985908049	7.02497615592191	7.66705187723821	6.55021698700702	7.05275914768682	7.02669209396272	7.3075895055599	6.3365379465065	6.95873765132032	6.48386592749146	6.45003659713296	7.23789051073567	6.53328805182749	5.99665804060638	6.31005401304794	5.9725612810556	6.03981673205629	6.11115787014094	7.26738970029005
ADAM12	6.59383948423323	6.96087678956114	7.07068426140283	7.084368365693	6.35703266965069	6.80792984761858	6.26126148944823	6.63603930821932	6.06820153255577	7.1762386749183	6.07284565163077	6.42101790877685	6.65642902828229	5.64990787562179	6.46147403722138	6.56973576081351	6.1578827486855	6.67151930767614	6.61580520953857	7.92729424680571	6.76404818831349	5.83064808523462	6.52573762088057	6.85094470858816	7.09242685939667	5.79349493082887	6.75212943700275	6.41783871026795	6.28878059140886	6.1337846893906	7.22646557359948	6.49152489432103	7.1195656748171	6.00147023567546	6.38371375581096	7.41463818827917	5.32622661465567	5.85071112239275	6.12347762142609	7.01278916567128	5.94997412952398	5.71515994295166	6.46247057686574	6.54303959967128	5.53754321862976	6.10891808656898	6.97358152266084	6.01369252740438	5.82660632474464	6.14474105553474	4.20142122908509	6.6665241098886	6.00596224248941	6.64985257006024	6.34610099495797	6.74145193242628	6.80821086396213	5.71347046692979	6.22614465627951	6.06302247169666	7.13682302131812	5.35693106331504	6.141895202511	6.22261059270507	6.71053643759871	6.2225988939527	7.22042892613105
